pitcher,pitchers_PA_as_L,pitchers_PA_as_R,pitcher_PA_vs_LHB,pitcher_PA_vs_RHB,pitcher_PA,pitchers_throwing_hand,prop_onbase_event_stand_L,prop_onbase_event_stand_R,prop_onbase_event_overall,prop_walk_event_stand_L,prop_walk_event_stand_R,prop_walk_event_overall,prop_single_event_stand_L,prop_single_event_stand_R,prop_single_event_overall,prop_double_event_stand_L,prop_double_event_stand_R,prop_double_event_overall,prop_triple_event_stand_L,prop_triple_event_stand_R,prop_triple_event_overall,prop_homerun_event_stand_L,prop_homerun_event_stand_R,prop_homerun_event_overall,prop_strikeout_event_stand_L,prop_strikeout_event_stand_R,prop_strikeout_event_overall,prop_onbase_event_stand_same,prop_walk_event_stand_same,prop_single_event_stand_same,prop_double_event_stand_same,prop_triple_event_stand_same,prop_homerun_event_stand_same,prop_strikeout_event_stand_same,prop_onbase_event_stand_diff,prop_walk_event_stand_diff,prop_single_event_stand_diff,prop_double_event_stand_diff,prop_triple_event_stand_diff,prop_homerun_event_stand_diff,prop_strikeout_event_stand_diff
112526.0,0.0,2869.0,1422.0,1447.0,2869,R,0.31575246132208157,0.30822391154111956,0.3119553851516208,0.047116736990154715,0.028334485141672427,0.037643778319972114,0.16455696202531644,0.17277125086385625,0.16869989543394912,0.057665260196905765,0.055286800276434005,0.056465667479958175,0.008438818565400843,0.006910850034554251,0.007668177065179505,0.034458509142053444,0.04077401520387008,0.037643778319972114,0.14345991561181434,0.15411195577055978,0.14883234576507495,0.30822391154111956,0.028334485141672427,0.17277125086385625,0.055286800276434005,0.006910850034554251,0.04077401520387008,0.15411195577055978,0.31575246132208157,0.047116736990154715,0.16455696202531644,0.057665260196905765,0.008438818565400843,0.034458509142053444,0.14345991561181434
282332.0,3255.0,0.0,635.0,2620.0,3255,L,0.29448818897637796,0.32748091603053436,0.3210445468509985,0.08503937007874016,0.07480916030534351,0.07680491551459294,0.12440944881889764,0.16603053435114504,0.15791090629800308,0.02047244094488189,0.04083969465648855,0.03686635944700461,0.0031496062992125984,0.0030534351145038168,0.0030721966205837174,0.029921259842519685,0.03740458015267176,0.035944700460829496,0.25196850393700787,0.1881679389312977,0.20061443932411674,0.29448818897637796,0.08503937007874016,0.12440944881889764,0.02047244094488189,0.0031496062992125984,0.029921259842519685,0.25196850393700787,0.32748091603053436,0.07480916030534351,0.16603053435114504,0.04083969465648855,0.0030534351145038168,0.03740458015267176,0.1881679389312977
285079.0,0.0,2430.0,1096.0,1334.0,2430,R,0.30474452554744524,0.3275862068965517,0.3172839506172839,0.08211678832116788,0.0727136431784108,0.07695473251028806,0.12864963503649635,0.14767616191904048,0.1390946502057613,0.04744525547445255,0.05247376311844078,0.050205761316872426,0.006386861313868613,0.008245877061469266,0.007407407407407408,0.03193430656934307,0.03298350824587706,0.03251028806584362,0.14233576642335766,0.17391304347826086,0.15967078189300413,0.3275862068965517,0.0727136431784108,0.14767616191904048,0.05247376311844078,0.008245877061469266,0.03298350824587706,0.17391304347826086,0.30474452554744524,0.08211678832116788,0.12864963503649635,0.04744525547445255,0.006386861313868613,0.03193430656934307,0.14233576642335766
407793.0,0.0,2375.0,1089.0,1286.0,2375,R,0.3269054178145087,0.2651632970451011,0.29347368421052633,0.0844811753902663,0.04510108864696734,0.06315789473684211,0.155188246097337,0.13996889580093314,0.14694736842105263,0.03948576675849403,0.03421461897356143,0.03663157894736842,0.0036730945821854912,0.0015552099533437014,0.0025263157894736842,0.03489439853076217,0.03265940902021773,0.03368421052631579,0.16620752984389348,0.25038880248833595,0.21178947368421053,0.2651632970451011,0.04510108864696734,0.13996889580093314,0.03421461897356143,0.0015552099533437014,0.03265940902021773,0.25038880248833595,0.3269054178145087,0.0844811753902663,0.155188246097337,0.03948576675849403,0.0036730945821854912,0.03489439853076217,0.16620752984389348
407845.0,0.0,1282.0,633.0,649.0,1282,R,0.33649289099526064,0.3220338983050847,0.3291731669266771,0.1263823064770932,0.09399075500770417,0.10998439937597504,0.14218009478672985,0.15254237288135594,0.14742589703588144,0.0315955766192733,0.03543913713405239,0.033541341653666144,0.001579778830963665,0.0015408320493066256,0.0015600624024961,0.023696682464454975,0.02157164869029276,0.02262090483619345,0.2717219589257504,0.21879815100154082,0.24492979719188768,0.3220338983050847,0.09399075500770417,0.15254237288135594,0.03543913713405239,0.0015408320493066256,0.02157164869029276,0.21879815100154082,0.33649289099526064,0.1263823064770932,0.14218009478672985,0.0315955766192733,0.001579778830963665,0.023696682464454975,0.2717219589257504
407890.0,0.0,1307.0,683.0,624.0,1307,R,0.30453879941434847,0.2900641025641026,0.297628156082632,0.05417276720351391,0.04807692307692308,0.051262433052792655,0.15373352855051245,0.15384615384615385,0.15378729915837797,0.04685212298682284,0.041666666666666664,0.04437643458301454,0.007320644216691069,0.0016025641025641025,0.0045906656465187455,0.029282576866764276,0.038461538461538464,0.03366488140780413,0.13177159590043924,0.19230769230769232,0.16067329762815608,0.2900641025641026,0.04807692307692308,0.15384615384615385,0.041666666666666664,0.0016025641025641025,0.038461538461538464,0.19230769230769232,0.30453879941434847,0.05417276720351391,0.15373352855051245,0.04685212298682284,0.007320644216691069,0.029282576866764276,0.13177159590043924
425794.0,0.0,2395.0,1111.0,1284.0,2395,R,0.36003600360036003,0.3052959501557632,0.3306889352818372,0.09540954095409541,0.050623052959501556,0.07139874739039666,0.1692169216921692,0.16277258566978192,0.16576200417536535,0.05310531053105311,0.05529595015576324,0.054279749478079335,0.004500450045004501,0.004672897196261682,0.004592901878914405,0.032403240324032405,0.02102803738317757,0.02630480167014614,0.18091809180918092,0.20015576323987538,0.19123173277661795,0.3052959501557632,0.050623052959501556,0.16277258566978192,0.05529595015576324,0.004672897196261682,0.02102803738317757,0.20015576323987538,0.36003600360036003,0.09540954095409541,0.1692169216921692,0.05310531053105311,0.004500450045004501,0.032403240324032405,0.18091809180918092
425844.0,0.0,3962.0,1944.0,2018.0,3962,R,0.27109053497942387,0.25520317145688803,0.2629984856133266,0.05298353909465021,0.04311199207135778,0.04795557799091368,0.14248971193415638,0.13330029732408324,0.13780918727915195,0.043209876543209874,0.03964321110009911,0.04139323573952549,0.00205761316872428,0.005946481665014866,0.004038364462392731,0.025205761316872428,0.030723488602576808,0.02801615345784957,0.22170781893004116,0.24578790882061446,0.23397274103987886,0.25520317145688803,0.04311199207135778,0.13330029732408324,0.03964321110009911,0.005946481665014866,0.030723488602576808,0.24578790882061446,0.27109053497942387,0.05298353909465021,0.14248971193415638,0.043209876543209874,0.00205761316872428,0.025205761316872428,0.22170781893004116
429719.0,0.0,1658.0,789.0,869.0,1658,R,0.34220532319391633,0.33601841196777904,0.33896260554885405,0.11280101394169835,0.07364787111622555,0.09227985524728588,0.1267427122940431,0.1472957422324511,0.13751507840772015,0.057034220532319393,0.05523590333716916,0.05609167671893848,0.0038022813688212928,0.005753739930955121,0.0048250904704463205,0.034220532319391636,0.05293440736478711,0.04402895054282268,0.16983523447401774,0.16570771001150747,0.16767189384800965,0.33601841196777904,0.07364787111622555,0.1472957422324511,0.05523590333716916,0.005753739930955121,0.05293440736478711,0.16570771001150747,0.34220532319391633,0.11280101394169835,0.1267427122940431,0.057034220532319393,0.0038022813688212928,0.034220532319391636,0.16983523447401774
429722.0,0.0,2252.0,1102.0,1150.0,2252,R,0.29764065335753176,0.3026086956521739,0.30017761989342806,0.073502722323049,0.06782608695652174,0.07060390763765542,0.13430127041742287,0.1408695652173913,0.13765541740674955,0.04627949183303085,0.04521739130434783,0.04573712255772647,0.003629764065335753,0.004347826086956522,0.003996447602131439,0.03357531760435572,0.034782608695652174,0.034191829484902306,0.15517241379310345,0.21565217391304348,0.18605683836589698,0.3026086956521739,0.06782608695652174,0.1408695652173913,0.04521739130434783,0.004347826086956522,0.034782608695652174,0.21565217391304348,0.29764065335753176,0.073502722323049,0.13430127041742287,0.04627949183303085,0.003629764065335753,0.03357531760435572,0.15517241379310345
