batter,batters_PA_as_L,batters_PA_as_R,PA_vs_LHP,PA_vs_RHP,PA,batter_stance,prop_onbase_event_p_throws_L,prop_onbase_event_p_throws_R,prop_onbase_event_overall,prop_walk_event_p_throws_L,prop_walk_event_p_throws_R,prop_walk_event_overall,prop_single_event_p_throws_L,prop_single_event_p_throws_R,prop_single_event_overall,prop_double_event_p_throws_L,prop_double_event_p_throws_R,prop_double_event_overall,prop_triple_event_p_throws_L,prop_triple_event_p_throws_R,prop_triple_event_overall,prop_homerun_event_p_throws_L,prop_homerun_event_p_throws_R,prop_homerun_event_overall,prop_strikeout_event_p_throws_L,prop_strikeout_event_p_throws_R,prop_strikeout_event_overall,prop_onbase_event_p_throws_same,prop_walk_event_p_throws_same,prop_single_event_p_throws_same,prop_double_event_p_throws_same,prop_triple_event_p_throws_same,prop_homerun_event_p_throws_same,prop_strikeout_event_p_throws_same,prop_onbase_event_p_throws_diff,prop_walk_event_p_throws_diff,prop_single_event_p_throws_diff,prop_double_event_p_throws_diff,prop_triple_event_p_throws_diff,prop_homerun_event_p_throws_diff,prop_strikeout_event_p_throws_diff
120074.0,1233.0,1.0,334.0,900.0,1234,L,0.3203592814371258,0.3688888888888889,0.3557536466774716,0.08083832335329341,0.10888888888888888,0.1012965964343598,0.1497005988023952,0.11222222222222222,0.12236628849270664,0.05089820359281437,0.07555555555555556,0.06888168557536467,0.0,0.0011111111111111111,0.0008103727714748784,0.038922155688622756,0.06888888888888889,0.060777957860615885,0.17664670658682635,0.13111111111111112,0.14343598055105347,0.3203592814371258,0.08083832335329341,0.1497005988023952,0.05089820359281437,0.0,0.038922155688622756,0.17664670658682635,0.3688888888888889,0.10888888888888888,0.11222222222222222,0.07555555555555556,0.0011111111111111111,0.06888888888888889,0.13111111111111112
121347.0,0.0,866.0,277.0,589.0,866,R,0.33574007220216606,0.31069609507640067,0.3187066974595843,0.11552346570397112,0.1035653650254669,0.10739030023094688,0.10469314079422383,0.1273344651952462,0.12009237875288684,0.05054151624548736,0.025466893039049237,0.03348729792147806,0.0036101083032490976,0.0,0.0011547344110854503,0.04693140794223827,0.04923599320882852,0.04849884526558892,0.2527075812274368,0.24108658743633277,0.24480369515011546,0.31069609507640067,0.1035653650254669,0.1273344651952462,0.025466893039049237,0.0,0.04923599320882852,0.24108658743633277,0.33574007220216606,0.11552346570397112,0.10469314079422383,0.05054151624548736,0.0036101083032490976,0.04693140794223827,0.2527075812274368
134181.0,0.0,2127.0,592.0,1535.0,2127,R,0.3733108108108108,0.33029315960912053,0.3422661024917725,0.0945945945945946,0.05993485342019544,0.06958157028678891,0.17398648648648649,0.1700325732899023,0.17113305124588624,0.048986486486486486,0.051465798045602605,0.05077574047954866,0.006756756756756757,0.001954397394136808,0.003291020216267043,0.04391891891891892,0.036482084690553744,0.038551951104842504,0.13006756756756757,0.13029315960912052,0.13023037141513868,0.33029315960912053,0.05993485342019544,0.1700325732899023,0.051465798045602605,0.001954397394136808,0.036482084690553744,0.13029315960912052,0.3733108108108108,0.0945945945945946,0.17398648648648649,0.048986486486486486,0.006756756756756757,0.04391891891891892,0.13006756756756757
150029.0,0.0,1274.0,280.0,994.0,1274,R,0.35714285714285715,0.31086519114688127,0.32103610675039246,0.11428571428571428,0.11167002012072434,0.11224489795918367,0.11071428571428571,0.12877263581488935,0.12480376766091052,0.07142857142857142,0.03420523138832998,0.0423861852433281,0.0,0.002012072434607646,0.0015698587127158557,0.05714285714285714,0.02716297786720322,0.033751962323390894,0.21071428571428572,0.23138832997987926,0.22684458398744112,0.31086519114688127,0.11167002012072434,0.12877263581488935,0.03420523138832998,0.002012072434607646,0.02716297786720322,0.23138832997987926,0.35714285714285715,0.11428571428571428,0.11071428571428571,0.07142857142857142,0.0,0.05714285714285714,0.21071428571428572
400284.0,1525.0,0.0,253.0,1272.0,1525,L,0.25296442687747034,0.31525157232704404,0.30491803278688523,0.07114624505928854,0.07547169811320754,0.07475409836065573,0.08695652173913043,0.13836477987421383,0.1298360655737705,0.043478260869565216,0.05188679245283019,0.050491803278688525,0.003952569169960474,0.007075471698113208,0.006557377049180328,0.015810276679841896,0.02122641509433962,0.020327868852459016,0.22529644268774704,0.16588050314465408,0.17573770491803278,0.25296442687747034,0.07114624505928854,0.08695652173913043,0.043478260869565216,0.003952569169960474,0.015810276679841896,0.22529644268774704,0.31525157232704404,0.07547169811320754,0.13836477987421383,0.05188679245283019,0.007075471698113208,0.02122641509433962,0.16588050314465408
405395.0,0.0,2986.0,773.0,2213.0,2986,R,0.2884864165588616,0.29688206055128785,0.29470864032150035,0.0685640362225097,0.058291911432444644,0.06095110515740121,0.13195342820181113,0.15589697243560777,0.14969859343603484,0.037516170763260026,0.032083145051965654,0.033489618218352314,0.0,0.0,0.0,0.050452781371280724,0.043831902394939,0.04554588077695914,0.12807244501940493,0.12336195210122006,0.1245813797722706,0.29688206055128785,0.058291911432444644,0.15589697243560777,0.032083145051965654,0.0,0.043831902394939,0.12336195210122006,0.2884864165588616,0.0685640362225097,0.13195342820181113,0.037516170763260026,0.0,0.050452781371280724,0.12807244501940493
407812.0,0.0,1194.0,346.0,848.0,1194,R,0.3468208092485549,0.3313679245283019,0.3358458961474037,0.12138728323699421,0.09905660377358491,0.10552763819095477,0.1329479768786127,0.12853773584905662,0.12981574539363483,0.03757225433526012,0.05070754716981132,0.04690117252931323,0.0,0.0023584905660377358,0.0016750418760469012,0.046242774566473986,0.03419811320754717,0.03768844221105527,0.2023121387283237,0.2134433962264151,0.2102177554438861,0.3313679245283019,0.09905660377358491,0.12853773584905662,0.05070754716981132,0.0023584905660377358,0.03419811320754717,0.2134433962264151,0.3468208092485549,0.12138728323699421,0.1329479768786127,0.03757225433526012,0.0,0.046242774566473986,0.2023121387283237
408045.0,2375.0,0.0,624.0,1751.0,2375,L,0.33653846153846156,0.3500856653340948,0.3465263157894737,0.07852564102564102,0.10508280982295831,0.09810526315789474,0.19391025641025642,0.17190177041690463,0.17768421052631578,0.038461538461538464,0.054254711593375214,0.050105263157894736,0.003205128205128205,0.0034266133637921186,0.003368421052631579,0.014423076923076924,0.014277555682467162,0.01431578947368421,0.17147435897435898,0.14962878355225587,0.15536842105263157,0.33653846153846156,0.07852564102564102,0.19391025641025642,0.038461538461538464,0.003205128205128205,0.014423076923076924,0.17147435897435898,0.3500856653340948,0.10508280982295831,0.17190177041690463,0.054254711593375214,0.0034266133637921186,0.014277555682467162,0.14962878355225587
408234.0,1.0,2405.0,536.0,1870.0,2406,R,0.40298507462686567,0.3502673796791444,0.36201163757273486,0.13246268656716417,0.08609625668449197,0.09642560266001662,0.17350746268656717,0.17700534759358288,0.17622610141313383,0.05223880597014925,0.045454545454545456,0.04696591853699086,0.0,0.0010695187165775401,0.0008312551953449709,0.03917910447761194,0.03529411764705882,0.03615960099750624,0.1921641791044776,0.1786096256684492,0.18162926018287615,0.3502673796791444,0.08609625668449197,0.17700534759358288,0.045454545454545456,0.0010695187165775401,0.03529411764705882,0.1786096256684492,0.40298507462686567,0.13246268656716417,0.17350746268656717,0.05223880597014925,0.0,0.03917910447761194,0.1921641791044776
408236.0,1709.0,0.0,429.0,1280.0,1709,L,0.30536130536130535,0.3265625,0.32124049151550615,0.055944055944055944,0.07890625,0.07314218841427736,0.18181818181818182,0.1515625,0.1591574019894675,0.039627039627039624,0.05390625,0.05032182562902282,0.0,0.0,0.0,0.013986013986013986,0.03828125,0.03218256290228204,0.16317016317016317,0.178125,0.1743709771796372,0.30536130536130535,0.055944055944055944,0.18181818181818182,0.039627039627039624,0.0,0.013986013986013986,0.16317016317016317,0.3265625,0.07890625,0.1515625,0.05390625,0.0,0.03828125,0.178125
